_id,DatGeracaoConjuntoDados,SigTipoGeracao,QtdUsinasPeriodo,MdaPotenciaInstaladaKW,MesReferencia,AnoReferencia
"323,2026-03-01,PCH,422,""5307562,57"",3 ,2020"
"324,2026-03-01,UHE,217,""102998876,00"",3 ,2020"
"325,2026-03-01,UTE,3054,""42495516,59"",3 ,2020"
"326,2026-03-01,UTN,2,""1990000,00"",3 ,2020"
"327,2026-03-01,EOL,645,""15722532,86"",6 ,2020"
"328,2026-03-01,CGH,733,""802630,13"",6 ,2020"
"329,2026-03-01,UFV,3895,""2927973,95"",6 ,2020"
"330,2026-03-01,CGU,1,""50,00"",6 ,2020"
"331,2026-03-01,PCH,416,""5300908,57"",6 ,2020"
"332,2026-03-01,UHE,219,""103002876,00"",6 ,2020"
"333,2026-03-01,UTE,3058,""42958619,59"",6 ,2020"
"334,2026-03-01,UTN,2,""1990000,00"",6 ,2020"
"335,2026-03-01,EOL,657,""16204422,86"",9 ,2020"
"336,2026-03-01,CGH,736,""809534,77"",9 ,2020"
"337,2026-03-01,UFV,3904,""3017726,25"",9 ,2020"
"338,2026-03-01,CGU,1,""50,00"",9 ,2020"
"339,2026-03-01,PCH,420,""5380268,57"",9 ,2020"
"340,2026-03-01,UHE,219,""103026876,00"",9 ,2020"
"341,2026-03-01,UTE,3064,""43023164,89"",9 ,2020"
"342,2026-03-01,UTN,2,""1990000,00"",9 ,2020"
"343,2026-03-01,EOL,789,""20771078,86"",12,2021"
"344,2026-03-01,CGH,732,""833619,67"",12,2021"
"345,2026-03-01,UFV,5144,""4632245,56"",12,2021"
"346,2026-03-01,CGU,1,""50,00"",12,2021"
"347,2026-03-01,PCH,426,""5513046,57"",12,2021"
"348,2026-03-01,UHE,218,""103003362,00"",12,2021"
"349,2026-03-01,UTE,3103,""44789325,29"",12,2021"
"350,2026-03-01,UTN,2,""1990000,00"",12,2021"
"351,2026-03-01,EOL,704,""17729872,86"",3 ,2021"
"352,2026-03-01,CGH,740,""826661,59"",3 ,2021"
"353,2026-03-01,UFV,4129,""3291221,65"",3 ,2021"
"354,2026-03-01,CGU,1,""50,00"",3 ,2021"
"355,2026-03-01,PCH,425,""5461081,57"",3 ,2021"
"356,2026-03-01,UHE,219,""103026876,00"",3 ,2021"
"357,2026-03-01,UTE,3080,""42763716,39"",3 ,2021"
"358,2026-03-01,UTN,2,""1990000,00"",3 ,2021"
"359,2026-03-01,EOL,725,""18559237,86"",6 ,2021"
"360,2026-03-01,CGH,725,""851389,42"",6 ,2021"
"361,2026-03-01,UFV,4282,""3360139,21"",6 ,2021"
"362,2026-03-01,CGU,1,""50,00"",6 ,2021"
"363,2026-03-01,PCH,426,""5473567,57"",6 ,2021"
"364,2026-03-01,UHE,219,""103026516,00"",6 ,2021"
"365,2026-03-01,UTE,3090,""42896765,59"",6 ,2021"
"366,2026-03-01,UTN,2,""1990000,00"",6 ,2021"
"367,2026-03-01,EOL,753,""19437898,86"",9 ,2021"
"368,2026-03-01,CGH,731,""865224,42"",9 ,2021"
"369,2026-03-01,UFV,4357,""3837706,85"",9 ,2021"
"370,2026-03-01,CGU,1,""50,00"",9 ,2021"
"371,2026-03-01,PCH,424,""5499600,57"",9 ,2021"
"372,2026-03-01,UHE,219,""103026516,00"",9 ,2021"
"373,2026-03-01,UTE,3100,""44566076,57"",9 ,2021"
"374,2026-03-01,UTN,2,""1990000,00"",9 ,2021"
"375,2026-03-01,EOL,883,""23727623,86"",12,2022"
"376,2026-03-01,CGH,719,""861390,42"",12,2022"
"377,2026-03-01,UFV,17950,""7337010,87"",12,2022"
"378,2026-03-01,PCH,428,""5662018,57"",12,2022"
"379,2026-03-01,UHE,215,""103195357,00"",12,2022"
"380,2026-03-01,UTE,3033,""46207492,81"",12,2022"
"381,2026-03-01,UTN,2,""1990000,00"",12,2022"
"382,2026-03-01,EOL,812,""21585878,86"",3 ,2022"
"383,2026-03-01,CGH,737,""844777,92"",3 ,2022"
"384,2026-03-01,UFV,8587,""4879596,61"",3 ,2022"
"385,2026-03-01,CGU,1,""50,00"",3 ,2022"
"386,2026-03-01,PCH,430,""5576996,57"",3 ,2022"
"387,2026-03-01,UHE,218,""103003362,00"",3 ,2022"
"388,2026-03-01,UTE,3114,""44954687,71"",3 ,2022"
"389,2026-03-01,UTN,2,""1990000,00"",3 ,2022"
"390,2026-03-01,EOL,824,""21886178,86"",6 ,2022"
"391,2026-03-01,CGH,729,""838183,12"",6 ,2022"
"392,2026-03-01,UFV,11283,""5097769,98"",6 ,2022"
"393,2026-03-01,CGU,1,""50,00"",6 ,2022"
"394,2026-03-01,PCH,430,""5607600,57"",6 ,2022"
"395,2026-03-01,UHE,218,""103008362,00"",6 ,2022"
"396,2026-03-01,UTE,3121,""45165147,71"",6 ,2022"
"397,2026-03-01,UTN,2,""1990000,00"",6 ,2022"
"398,2026-03-01,EOL,846,""22535988,86"",9 ,2022"
"399,2026-03-01,CGH,733,""847895,22"",9 ,2022"
"400,2026-03-01,UFV,14624,""6457903,97"",9 ,2022"
"401,2026-03-01,PCH,425,""5599638,57"",9 ,2022"
"402,2026-03-01,UHE,216,""103189722,00"",9 ,2022"
"403,2026-03-01,UTE,3126,""45626736,67"",9 ,2022"
